UID|User|JobID|JobName|Submit|Elapsed|Partition|NNodes|NCPUS|TotalCPU|CPUTime|ReqMem|MaxRSS|WorkDir|State|Account|AllocTRES
11111|uid_1|55176141|CPU-4ch|2022-02-11T19:11:21|04:00:25|ash-himem|1|1|00:00:00|04:00:25|6760M||/home/uid_1|TIMEOUT|group_1-sl2-cpu|billing=1,cpu=1,mem=6760M,node=1
11111|uid_1|55236675|GPU-int|2022-02-12T13:55:33|03:00:30|oak|1|32|00:00:00|4-00:16:00|250G||/home/uid_1|TIMEOUT|group_1-sl2-gpu|billing=32,cpu=32,gres/gpu=1,mem=250G,node=1
11111|uid_1|55236694|Omic_b01T|2022-02-12T14:04:01|00:39:16|oak|1|32|00:00:00|20:56:32|250G||/home/uid_1/a/b/c|COMPLETED|group_1-sl3-gpu|billing=32,cpu=32,gres/gpu=1,mem=250G,node=1
11111|uid_1|57365267|GPU-int|2022-03-20T12:34:24|02:00:18|oak|1|32|00:00:00|2-16:09:36|250G||/home/uid_1|TIMEOUT|group_1-sl2-gpu|billing=32,cpu=32,gres/gpu=1,mem=250G,node=1
11111|uid_1|57365466|Hyb_b01T|2022-03-20T12:54:43|00:07:12|oak|1|32|00:00:00|03:50:24|250G||/home/uid_1/a/b/c|FAILED|group_1-sl2-gpu|billing=32,cpu=32,gres/gpu=1,mem=250G,node=1
11111|uid_1|57365498|HybSM_b01T|2022-03-20T13:10:15|01:14:28|oak|1|32|00:00:00|1-15:42:56|250G||/home/uid_1/a/b/c|COMPLETED|group_1-sl2-gpu|billing=32,cpu=32,gres/gpu=1,mem=250G,node=1
11111|uid_1|57365499|HSM_b02T|2022-03-20T13:10:20|00:56:48|oak|1|32|00:00:00|1-06:17:36|250G||/home/uid_1/a/b/c|COMPLETED|group_1-sl2-gpu|billing=32,cpu=32,gres/gpu=1,mem=250G,node=1
11111|uid_1|57365501|Hyb_b01T|2022-03-20T13:13:11|01:17:05|oak|1|32|00:00:00|1-17:06:40|250G||/home/uid_1/a/b/c|COMPLETED|group_1-sl2-gpu|billing=32,cpu=32,gres/gpu=1,mem=250G,node=1
11111|uid_1|57365633|reg_b01T|2022-03-20T13:23:54|00:04:26|oak|1|32|00:00:00|02:21:52|250G||/home/uid_1/a/b/c|COMPLETED|group_1-sl2-gpu|billing=32,cpu=32,gres/gpu=1,mem=250G,node=1
11111|uid_1|57365634|reg_b02T|2022-03-20T13:23:58|00:07:52|oak|1|32|00:00:00|04:11:44|250G||/home/uid_1/a/b/c|COMPLETED|group_1-sl2-gpu|billing=32,cpu=32,gres/gpu=1,mem=250G,node=1
