WallclockTimeX	ReqMemX	PartitionX	SubmitDatetimeX	StateX	UIDX	UserX	PartitionTypeX	TotalCPUtime2useX	TotalGPUtime2useX	CPUhoursChargedX	GPUhoursChargedX	NeededMemX	memOverallocationFactorX
0 days 08:35:00	31.0	ash	2023-05-02	1	11111	uid_1	CPU	3 days 03:53:00	0 days	75.88333333333334	0.0	21.10026502351242	1.4691758594243305
0 days 02:42:00	44.0	ash	2023-05-08	1	11111	uid_1	CPU	0 days 05:17:00	0 days	5.283333333333333	0.0	19.914666093186696	2.2094269516802743
0 days 07:03:00	11.0	ash	2023-06-07	0	11111	uid_1	CPU	2 days 14:48:00	0 days	62.8	0.0	1.6275267798494046	6.758721353278029
0 days 11:20:00	53.0	ash	2023-05-24	1	11111	uid_1	CPU	2 days 04:03:00	0 days	52.05	0.0	3.319544279495788	15.966047004515413
0 days 09:31:00	14.0	ash	2023-05-06	1	11111	uid_1	CPU	0 days 04:35:00	0 days	4.583333333333333	0.0	4.927251554600027	2.841340622629619
0 days 09:30:00	47.0	ash	2023-05-13	1	11111	uid_1	CPU	1 days 05:28:00	0 days	29.466666666666665	0.0	22.369407483061263	2.1010838143830903
0 days 04:29:00	82.0	ash	2023-05-06	1	11111	uid_1	CPU	0 days 20:53:00	0 days	20.883333333333333	0.0	67.05116805025656	1.2229466299310239
0 days 10:11:00	111.0	ash	2023-05-20	1	11111	uid_1	CPU	2 days 23:28:00	0 days	71.46666666666667	0.0	77.34949922915355	1.4350448432918017
0 days 06:15:00	84.0	ash	2023-06-23	1	11111	uid_1	CPU	3 days 02:06:00	0 days	74.1	0.0	61.163276862788486	1.3733731138775087
0 days 08:21:00	15.0	ash	2023-06-28	1	11111	uid_1	CPU	3 days 09:25:00	0 days	81.41666666666667	0.0	10.283756962706896	1.458610900121048
0 days 10:26:00	85.0	ash	2023-05-17	1	11111	uid_1	CPU	2 days 07:33:00	0 days	55.55	0.0	78.71042266068618	1.0799078079713489
0 days 09:44:00	102.0	ash	2023-05-16	0	11111	uid_1	CPU	1 days 10:26:00	0 days	34.43333333333333	0.0	37.402807472814835	2.7270680168630603
0 days 05:32:00	14.0	ash	2023-06-01	0	11111	uid_1	CPU	0 days 03:25:00	0 days	3.4166666666666665	0.0	7.66910536349803	1.8255062796026478
0 days 01:08:00	52.0	ash	2023-06-23	1	11111	uid_1	CPU	0 days 02:35:00	0 days	2.5833333333333335	0.0	1.584512549830309	32.8176637070933
0 days 08:18:00	103.0	ash	2023-05-21	1	11111	uid_1	CPU	1 days 05:30:00	0 days	29.5	0.0	69.43163970516633	1.483473535082535
0 days 02:32:00	30.0	ash	2023-05-02	1	11111	uid_1	CPU	0 days 06:24:00	0 days	6.4	0.0	2.6807479130567247	11.190906781605019
0 days 10:54:00	82.0	ash	2023-06-05	1	11111	uid_1	CPU	1 days 08:39:00	0 days	32.65	0.0	35.076626772787286	2.337739045751578
0 days 01:01:00	128.0	ash	2023-05-18	0	11111	uid_1	CPU	3 days 09:04:00	0 days	81.06666666666666	0.0	6.099492791690011	20.985351466336354
0 days 10:38:00	127.0	ash	2023-06-14	1	11111	uid_1	CPU	1 days 00:29:00	0 days	24.483333333333334	0.0	10.580382877704325	12.00334633140949
0 days 09:58:00	55.0	ash	2023-05-08	1	11111	uid_1	CPU	1 days 11:30:00	0 days	35.5	0.0	21.76373600189576	2.527139641613423
0 days 03:38:00	11.0	ash	2023-05-28	1	11111	uid_1	CPU	3 days 10:54:00	0 days	82.9	0.0	9.58779707185599	1.1472916998096871
0 days 02:23:00	116.0	ash	2023-05-23	1	11111	uid_1	CPU	3 days 01:09:00	0 days	73.15	0.0	58.1956888175733	1.9932748001939895
0 days 01:31:00	108.0	ash	2023-06-15	1	11111	uid_1	CPU	0 days 13:02:00	0 days	13.033333333333333	0.0	60.1210002748074	1.7963772975556331
0 days 09:28:00	113.0	ash	2023-06-15	1	11111	uid_1	CPU	3 days 02:23:00	0 days	74.38333333333334	0.0	111.34812525654365	1.0148352272626995
0 days 07:46:00	42.0	ash	2023-05-20	1	11111	uid_1	CPU	0 days 13:55:00	0 days	13.916666666666666	0.0	3.32572246710483	12.62883491194099
0 days 05:41:00	62.0	ash	2023-06-20	0	11111	uid_1	CPU	1 days 23:03:00	0 days	47.05	0.0	1.444138547641515	42.93216887067718
0 days 10:49:00	17.0	ash	2023-06-09	1	11111	uid_1	CPU	1 days 11:24:00	0 days	35.4	0.0	7.435393413358121	2.2863618715128777
0 days 06:21:00	118.0	ash	2023-05-05	1	11111	uid_1	CPU	2 days 09:08:00	0 days	57.13333333333333	0.0	27.36923926515344	4.311409566660401
0 days 04:49:00	61.0	ash	2023-05-02	1	11111	uid_1	CPU	2 days 10:11:00	0 days	58.18333333333333	0.0	14.440337636278961	4.224277959176494
0 days 02:05:00	34.0	ash	2023-06-01	1	11111	uid_1	CPU	2 days 18:22:00	0 days	66.36666666666666	0.0	20.750609029025565	1.638506125407762
0 days 06:28:00	101.0	ash	2023-06-07	0	11111	uid_1	CPU	3 days 11:15:00	0 days	83.25	0.0	50.47899791651627	2.00083211174352
0 days 06:13:00	71.0	ash	2023-06-03	1	11111	uid_1	CPU	0 days 18:23:00	0 days	18.383333333333333	0.0	43.19600191018724	1.6436706375655459
0 days 06:33:00	63.0	ash	2023-05-25	0	11111	uid_1	CPU	2 days 12:26:00	0 days	60.43333333333333	0.0	55.80708702623486	1.1288888805535353
0 days 02:51:00	101.0	ash	2023-05-06	1	11111	uid_1	CPU	0 days 08:19:00	0 days	8.316666666666666	0.0	3.5324596062672513	28.591975919783174
0 days 10:40:00	93.0	ash	2023-06-18	1	11111	uid_1	CPU	0 days 03:44:00	0 days	3.7333333333333334	0.0	47.78578328652774	1.9461855305868665
0 days 08:25:00	111.0	ash	2023-06-14	1	11111	uid_1	CPU	0 days 05:15:00	0 days	5.25	0.0	48.18169932363118	2.3037792680250897
0 days 02:47:00	126.0	ash	2023-06-16	1	11111	uid_1	CPU	0 days 18:53:00	0 days	18.883333333333333	0.0	74.49535966558831	1.6913805177344927
0 days 01:42:00	90.0	ash	2023-05-13	1	11111	uid_1	CPU	1 days 07:52:00	0 days	31.866666666666667	0.0	21.932374841802282	4.103522789901593
